Флешка в форме кружки пива,450 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_v_forme_kruzhki_piva_720863900
USB-Flash SmartBuy 8Gb USB 2.0 Glossy series Black,320 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/usb-flash_smartbuy_8gb_usb_2.0_glossy_series_black_1142233540
Картридер Smartbuy MicroSD,100 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/kartrider_smartbuy_microsd_1074762108
SanDisk microsdhc UHS-I 16Gb Class 10 48Mb/s,480 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/sandisk_microsdhc_uhs-i_16gb_class_10_48mbs_1047994623
Новый Флеш-диск SmartBuy 8Gb Click,450 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_flesh-disk_smartbuy_8gb_click_1034128248
Новый Флеш-диск SmartBuy 16Gb Quartz,500 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/novyy_flesh-disk_smartbuy_16gb_quartz_1144495735
Кард ридер defender,200 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/kard_rider_defender_890457534
DUB-H7 USB,500 руб.,,https://avito.ru/perm/tovary_dlya_kompyutera/dub-h7_usb_914886116
Флешка на 32,700 руб.,р-н Свердловский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_na_32_1006660733
Новые,Цена не указана,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_1100390162
Флеш накопитель 64GB PNY USB Key Attache FDU64gbke,990 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_64gb_pny_usb_key_attache_fdu64gbke_1191644160
Флэшка,350 руб.,,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_417143613
Карты памяти SD-XC 64GB,1 150 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karty_pamyati_sd-xc_64gb_1134247718
Карта памяти CF 32GB 400х,3 100 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_cf_32gb_400h_1144736692
Карта памяти Micro M2 Sony 8GB,900 руб.,р-н Индустриальный,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_micro_m2_sony_8gb_1049710799
Флэш-накопитель Leef ibridge 32GB,2 499 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/flesh-nakopitel_leef_ibridge_32gb_918760229
Флеш накопитель 16GB PNY OTG Duo-Link,400 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_16gb_pny_otg_duo-link_1087067688
Флеш накопитель 32GB PNY USB Micro Hook Attache me,680 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_32gb_pny_usb_micro_hook_attache_me_1127631054
Карта памяти MS micro (M2),400 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_ms_micro_m2_1210966815
Smartbuy Glossy 16 Gb черная USB флеш накопитель,380 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/smartbuy_glossy_16_gb_chernaya_usb_flesh_nakopitel_1154827109
Флеш накопитель 16GB Transcend JetFlash V70 (Red),550 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_16gb_transcend_jetflash_v70_red_1009016647
Флеш накопитель 64GB Kingston DataTraveler Micro,930 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_64gb_kingston_datatraveler_micro_1161824481
Адаптер carry PC mcia / multi card 4 in 1,400 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/adapter_carry_pc_mcia_multi_card_4_in_1_901662797
Sony vaio VGP-MCA20 Memory Card Adapter,400 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/sony_vaio_vgp-mca20_memory_card_adapter_901661144
Флеш накопитель 32GB Kingston USB 2.0 DataTraveler,580 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_32gb_kingston_usb_2.0_datatraveler_1030961472
Новые флешки KingSton 8 GB Не вскрытые,250 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/novye_fleshki_kingston_8_gb_ne_vskrytye_773689485
MicroSD 1 гб,100 руб.,р-н Орджоникидзевский,https://avito.ru/perm/tovary_dlya_kompyutera/microsd_1_gb_1145321053
Универсальный картридер,250 руб.,р-н Кировский,https://avito.ru/perm/tovary_dlya_kompyutera/universalnyy_kartrider_947565059
Флеш накопитель 32GB PNY attache 4 3.0 R/W: 80/20,550 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_32gb_pny_attache_4_3.0_rw_8020_1218165120
Карта памяти,350 руб.,р-н Ленинский,https://avito.ru/perm/tovary_dlya_kompyutera/karta_pamyati_874086468
USB флеш-накопитель Smartbuy Glossy 16 Gb зеленая,380 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_glossy_16_gb_zelenaya_594058
Флеш накопитель 32GB PNY USB wave attache 2.0 R/W:,480 руб.,Магазин Бытовой электроники,https://avito.ru/perm/tovary_dlya_kompyutera/flesh_nakopitel_32gb_pny_usb_wave_attache_2.0_rw_1020016583
"Флешка Визитка (0140), 8 гб",340 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_vizitka_0140_8_gb_634446281
Флешка с отпечатком пальца 32 gb,3 400 руб.,р-н Мотовилихинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_s_otpechatkom_paltsa_32_gb_949267360
Флешка,400 руб.,р-н Дзержинский,https://avito.ru/perm/tovary_dlya_kompyutera/fleshka_1155827690
USB флеш-накопитель Smartbuy Crown 32 Gb белый,650 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_crown_32_gb_belyy_850096796
USB флеш-накопитель Smartbuy Glossy 16 Gb синяя,380 руб.,Online lavka,https://avito.ru/perm/tovary_dlya_kompyutera/usb_flesh-nakopitel_smartbuy_glossy_16_gb_sinyaya_1166336880
